frameId,t,yaw,pitch,roll,isCalibrated
713,10.733975,0.104365,-0.132395,0.014699,1
714,10.749206,0.104014,-0.131108,0.013715,1
715,10.764261,0.102248,-0.129025,0.013321,1
716,10.779229,0.097296,-0.125665,0.013326,1
717,10.794236,0.091204,-0.120596,0.012852,1
718,10.809232,0.087757,-0.114589,0.011428,1
719,10.824236,0.088222,-0.109951,0.009662,1
720,10.839369,0.090876,-0.108671,0.008377,1
721,10.854393,0.094114,-0.110949,0.008067,1
722,10.869401,0.097001,-0.115509,0.008954,1
723,10.884371,0.098758,-0.120274,0.011230,1
724,10.899547,0.099559,-0.122917,0.014547,1
725,10.914434,0.099972,-0.122276,0.017652,1
726,10.929589,0.100232,-0.119137,0.019406,1
727,10.944790,0.099420,-0.115096,0.019777,1
728,10.959769,0.098575,-0.111561,0.019092,1
729,10.974754,0.099782,-0.109522,0.018072,1
730,10.989861,0.102401,-0.109060,0.018219,1
731,11.004830,0.104546,-0.109578,0.019763,1
732,11.019942,0.104870,-0.110071,0.021860,1
733,11.034909,0.103127,-0.109383,0.023661,1
734,11.049953,0.100432,-0.106952,0.024381,1
735,11.064989,0.097302,-0.103214,0.023983,1
736,11.080134,0.094882,-0.098927,0.022964,1
737,11.095345,0.094026,-0.094559,0.022172,1
738,11.110110,0.094876,-0.090500,0.021767,1
739,11.125445,0.096772,-0.087194,0.021340,1
740,11.140370,0.099077,-0.085171,0.020656,1
741,11.155484,0.101324,-0.084802,0.020116,1
742,11.170463,0.102872,-0.085534,0.020436,1
743,11.185593,0.103774,-0.085989,0.021499,1
744,11.200424,0.104110,-0.085534,0.022621,1
745,11.215722,0.103603,-0.084502,0.023309,1
746,11.230689,0.102423,-0.083207,0.023576,1
747,11.245523,0.101287,-0.081287,0.023738,1
748,11.260695,0.100520,-0.078656,0.023930,1
749,11.275760,0.099947,-0.075908,0.024296,1
750,11.290818,0.100606,-0.073911,0.024870,1
751,11.305811,0.102110,-0.073503,0.025730,1
752,11.320818,0.103321,-0.074160,0.026804,1
753,11.335744,0.103925,-0.074541,0.027362,1
754,11.350992,0.103716,-0.073739,0.027098,1
755,11.365871,0.103399,-0.071698,0.026257,1
756,11.381043,0.103496,-0.069401,0.025142,1
757,11.396209,0.103524,-0.068019,0.024146,1
758,11.411052,0.103552,-0.067758,0.023386,1
759,11.426142,0.103803,-0.068257,0.022761,1
760,11.441252,0.103924,-0.068778,0.022253,1
761,11.456320,0.103702,-0.068514,0.022227,1
762,11.471313,0.103257,-0.066806,0.022522,1
763,11.486284,0.102266,-0.063649,0.022285,1
764,11.501320,0.100745,-0.059712,0.021549,1
765,11.516311,0.098970,-0.055871,0.021217,1
766,11.531507,0.097672,-0.052883,0.021624,1
767,11.546428,0.096909,-0.050896,0.022314,1
768,11.561649,0.096149,-0.050061,0.022950,1
769,11.576688,0.095340,-0.050322,0.023822,1
770,11.591765,0.094525,-0.050930,0.025355,1
771,11.606643,0.093595,-0.050707,0.027342,1
772,11.621787,0.091762,-0.049433,0.028829,1
773,11.636762,0.089432,-0.048033,0.029339,1
774,11.651891,0.088296,-0.047795,0.029075,1
775,11.666766,0.088514,-0.049559,0.028594,1
776,11.682082,0.088925,-0.052992,0.028467,1
777,11.697101,0.089654,-0.056973,0.028734,1
778,11.712326,0.090708,-0.060566,0.029126,1
779,11.727084,0.091551,-0.063308,0.029700,1
780,11.742133,0.091665,-0.065247,0.030473,1
781,11.757307,0.090662,-0.066318,0.031274,1
782,11.772381,0.089254,-0.066208,0.032200,1
783,11.787110,0.088648,-0.064999,0.033148,1
784,11.802289,0.088287,-0.063015,0.033959,1
785,11.817380,0.087649,-0.060990,0.034261,1
786,11.834012,0.087198,-0.059507,0.034014,1
787,11.847358,0.087081,-0.058841,0.033566,1
788,11.862544,0.087192,-0.059056,0.033202,1
789,11.877481,0.087173,-0.060017,0.033175,1
790,11.892518,0.087216,-0.060791,0.033550,1
791,11.907503,0.087275,-0.060514,0.034007,1
792,11.922691,0.087083,-0.058999,0.034029,1
793,11.937660,0.086447,-0.056823,0.033564,1
794,11.952729,0.085744,-0.054933,0.032927,1
795,11.967724,0.085504,-0.053927,0.032351,1
796,11.982893,0.085505,-0.053837,0.031981,1
797,11.997806,0.085298,-0.054255,0.031838,1
798,12.012849,0.084747,-0.054613,0.031864,1
799,12.027843,0.083964,-0.054830,0.031891,1
800,12.043098,0.083232,-0.055205,0.031821,1
801,12.058155,0.082778,-0.055927,0.031758,1
802,12.073055,0.082392,-0.056937,0.031777,1
